120
FROM	2	4
END 	FROM	2	TO	20000	1022	(FROM ORIGIN)	1014	(THIS STEP)
FROM	4	6
END 	FROM	4	TO	30000	2032	(FROM ORIGIN)	1009	(THIS STEP)
FROM	6	8
END 	FROM	6	TO	40000	3039	(FROM ORIGIN)	1004	(THIS STEP)
