STATUS;FROM;TO
OK;8140;8160
OK;8320;8340
OK;8360;8380
OK;8420;8440
OK;8440;8460
OK;8460;8480
OK;8380;8400
OK;8500;8520
OK;8520;8540
OK;8540;8560
OK;8560;8580
OK;8640;8660
OK;8580;8600
OK;8600;8620
OK;8620;8640
OK;8660;8680
OK;8700;8720
OK;8680;8700
OK;8480;8500
OK;8780;8800
OK;8740;8760
OK;8800;8820
OK;8840;8860
OK;8860;8880
OK;8880;8900
OK;8760;8780
OK;8920;8940
OK;8900;8920
OK;8960;8980
OK;8940;8960
OK;8980;9000
OK;8820;8840
OK;8720;8740
OK;8340;8360
OK;8400;8420
OK;4040;4060
OK;4020;4040
OK;4000;4020
OK;4060;4080
OK;4080;4100
OK;4100;4120
OK;4120;4140
OK;4160;4180
OK;4220;4240
OK;4200;4220
OK;4140;4160
OK;4180;4200
OK;4260;4280
OK;4240;4260
OK;4280;4300
OK;4300;4320
OK;4360;4380
OK;4320;4340
OK;4380;4400
OK;4340;4360
OK;4420;4440
OK;4400;4420
OK;4460;4480
OK;4480;4500
OK;4500;4520
OK;4520;4540
OK;4560;4580
OK;4580;4600
OK;4540;4560
OK;4660;4680
OK;4600;4620
OK;4440;4460
OK;4620;4640
OK;4700;4720
OK;4640;4660
OK;4720;4740
OK;4740;4760
OK;4760;4780
OK;4680;4700
OK;4800;4820
OK;4820;4840
OK;4780;4800
OK;4860;4880
OK;4920;4940
OK;4900;4920
OK;4940;4960
OK;4960;4980
OK;4840;4860
OK;4880;4900
OK;4980;5000
OK;9000;9020
OK;9060;9080
OK;9080;9100
OK;9100;9120
OK;9140;9160
OK;9120;9140
OK;9160;9180
OK;9200;9220
OK;9220;9240
OK;9260;9280
OK;9280;9300
OK;9240;9260
OK;9300;9320
OK;9040;9060
OK;9020;9040
OK;9180;9200
OK;9360;9380
OK;9320;9340
OK;9340;9360
OK;9440;9460
OK;9380;9400
OK;9500;9520
OK;9460;9480
OK;9540;9560
OK;9520;9540
OK;9420;9440
OK;9580;9600
OK;9560;9580
OK;9600;9620
OK;9620;9640
OK;9400;9420
OK;9640;9660
OK;9680;9700
OK;9480;9500
OK;9700;9720
OK;9660;9680
OK;9720;9740
OK;9780;9800
OK;9760;9780
OK;9840;9860
OK;9800;9820
OK;9860;9880
